Unity.frameCount	Unity.realtimeSinceStartup	Unity.Head.position.x	Unity.Head.position.y	Unity.Head.position.z	Unity.Head.rotation.euler_x	Unity.Head.rotation.euler_y	Unity.Head.rotation.euler_z	Unity.gazeHit.position.x	Unity.gazeHit.position.y	Unity.gazeHit.position.z	PicoXR.gazeHit.position.x	PicoXR.gazeHit.position.y	PicoXR.gazeHit.position.z	gazeData.leftEyePoseStatus	gazeData.rightEyePoseStatus	gazeData.combinedEyePoseStatus	gazeData.leftEyeGazePoint.x	gazeData.leftEyeGazePoint.y	gazeData.leftEyeGazePoint.z	gazeData.rightEyeGazePoint.x	gazeData.rightEyeGazePoint.y	gazeData.rightEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.leftEyeOpenness	gazeData.rightEyeOpenness	gazeData.leftEyePupilDilation	gazeData.rightEyePupilDilation	gazeData.leftEyePositionGuide.x	gazeData.leftEyePositionGuide.y	gazeData.leftEyePositionGuide.z	gazeData.rightEyePositionGuide.x	gazeData.rightEyePositionGuide.y	gazeData.rightEyePositionGuide.z	gazeData.foveatedGazeDirection.x	gazeData.foveatedGazeDirection.y	gazeData.foveatedGazeDirection.z	gazeData.foveatedGazeTrackingState
25937	365.2221	0	0	0	0	0	0	-1.372851	-2.501142	8.5	-0.007294608	-0.1117982	0.05	21	21	3	-0.03105191	-0.001432445	-0.02847404	0.02710045	-0.001065566	-0.02608941	-0.01324096	-0.001320077	-0.02774367	-0.01324096	-0.001320077	-0.02774367	1	1	0	0	0.4995433	0.5744614	0.5	0.3826043	0.5533062	0.5	-0.008768455	-0.1343866	0.9908902	0
25938	365.2629	0	0	0	0	0	0	-1.378093	-2.517272	8.5	-0.007469777	-0.1143294	0.05	21	21	3	-0.03105973	-0.001436135	-0.02846617	0.02710045	-0.001083782	-0.02601434	-0.01125066	-0.001316125	-0.02763109	-0.01125066	-0.001316125	-0.02763109	1	1	0	0	0.4992759	0.5750077	0.5	0.3824432	0.5543173	0.5	-0.008975288	-0.1373721	0.9904789	0
25939	365.2813	0	0	0	0	0	0	-1.374419	-2.485992	8.5	-0.007431408	-0.1114934	0.05	21	21	3	-0.03105973	-0.001436428	-0.02846225	0.02711253	-0.001275309	-0.02530212	-0.01206326	-0.001383813	-0.02743029	-0.01206326	-0.001383813	-0.02743029	1	1	0	0	0.4991925	0.5750417	0.5	0.3838021	0.5580084	0.5	-0.008933321	-0.1340266	0.9909375	0
25940	365.2985	0	0	0	0	0	0	-1.374459	-2.501195	8.5	-0.008254936	-0.1128552	0.05	21	21	3	-0.03106236	-0.001438491	-0.02845332	0.02711367	-0.001281072	-0.02529141	-0.01437052	-0.001393325	-0.0275461	-0.01437052	-0.001393325	-0.0275461	1	1	0	0	0.4990892	0.5752408	0.5	0.3837227	0.5583591	0.5	-0.009921003	-0.1356324	0.9907095	0
25941	365.3144	0	0	0	0	0	0	-1.374366	-2.497236	8.5	-0.008488118	-0.1124769	0.05	21	21	3	-0.03106345	-0.001452315	-0.02842825	0.02711397	-0.001283931	-0.02528959	-0.01507761	-0.001406047	-0.02756582	-0.01507761	-0.001406047	-0.02756582	1	1	0	0	0.4990447	0.575544	0.5	0.3837262	0.5583683	0.5	-0.01020185	-0.1351857	0.9907678	0
25942	365.3298	0	0	0	0	0	0	-1.369676	-2.493731	8.5	-0.008030303	-0.112165	0.05	21	21	3	-0.03106579	-0.001455262	-0.02842654	0.02711454	-0.001286392	-0.02528501	-0.01493674	-0.001408447	-0.02755563	-0.01493674	-0.001408447	-0.02755563	1	1	0	0	0.4990415	0.5755844	0.5	0.3838407	0.5583897	0.5	-0.009652142	-0.1348184	0.9908233	0
25943	365.3448	0	0	0	0	0	0	-1.37044	-2.49998	8.5	-0.007741243	-0.1127266	0.05	21	21	3	-0.03106629	-0.001456665	-0.02842097	0.02711459	-0.001290429	-0.02528347	-0.0141548	-0.001408345	-0.02750899	-0.0141548	-0.001408345	-0.02750899	1	1	0	0	0.499097	0.575699	0.5	0.3837428	0.5587547	0.5	-0.009303884	-0.1354815	0.9907361	0
25944	365.3671	0	0	0	0	0	0	-1.376498	-2.506669	8.5	-0.007724565	-0.1132585	0.05	21	21	3	-0.03106655	-0.001457797	-0.02842027	0.02711509	-0.001291657	-0.02528255	-0.01276062	-0.001405524	-0.02743304	-0.01276062	-0.001405524	-0.02743304	1	1	0	0	0.4990935	0.5759485	0.5	0.3836277	0.5587618	0.5	-0.009283036	-0.136109	0.9906504	0
25945	365.3878	0	0	0	0	0	0	-1.379437	-2.513744	8.5	-0.00789554	-0.1139423	0.05	21	21	3	-0.03106687	-0.001459615	-0.0284019	0.02711566	-0.001291657	-0.02528255	-0.01303562	-0.001407563	-0.02743519	-0.01303562	-0.001407563	-0.02743519	1	1	0	0	0.4990617	0.5760894	0.5	0.3836295	0.5588888	0.5	-0.009487422	-0.1369151	0.9905373	0
25946	365.4105	0	0	0	0	0	0	-1.377017	-2.509629	8.5	-0.007205362	-0.1136458	0.05	21	21	3	-0.03106701	-0.001471432	-0.02836845	0.02711762	-0.001290684	-0.02528347	-0.01244683	-0.001413589	-0.02738119	-0.01244683	-0.001413589	-0.02738119	1	1	0	0	0.4992382	0.5763341	0.5	0.3835451	0.5589576	0.5	-0.00865858	-0.1365665	0.9905931	0
