participant,condition,task,correct_char_1,correct_char_2,correct_char_3,correct_char_4,correct_char_5,given_char_1,given_char_2,given_char_3,given_char_4,given_char_5,correct_bool_1,correct_bool_2,correct_bool_3,correct_bool_4,correct_bool_5,given_bool_1,given_bool_2,given_bool_3,given_bool_4,given_bool_5
15,1,1,k,v,h,f,n,,,,,,1,1,1,0,0,,,,,
15,1,2,p,t,q,h,c,,,,,,1,0,1,1,0,,,,,
15,1,3,p,k,b,f,q,,,,,,1,1,1,0,1,,,,,
15,1,4,b,f,s,j,f,,,,,,1,0,1,0,1,,,,,
15,1,5,p,t,j,l,s,,,,,,1,0,1,0,1,,,,,
15,1,6,z,v,t,k,n,,,,,,1,0,0,1,1,,,,,
15,1,7,l,c,w,p,q,,,,,,0,1,1,1,1,,,,,
15,1,8,j,s,w,s,m,,,,,,1,0,0,0,1,,,,,
15,1,9,z,n,s,v,n,,,,,,0,1,0,1,0,,,,,
15,1,10,m,p,v,l,r,,,,,,0,0,0,1,1,,,,,
15,1,11,f,r,f,s,s,,,,,,0,0,1,0,1,,,,,
15,1,12,p,t,f,w,m,,,,,,1,0,0,1,0,,,,,
15,2,13,x,x,k,w,x,,,,,,0,1,0,0,0,,,,,
15,2,14,h,r,r,w,k,,,,,,1,0,1,0,0,,,,,
15,2,15,n,q,k,r,r,,,,,,0,0,1,0,0,,,,,
15,2,16,l,v,w,x,p,,,,,,0,1,1,0,0,,,,,
15,2,17,m,j,r,q,f,,,,,,0,0,0,0,1,,,,,
15,2,18,c,v,x,d,r,,,,,,1,0,0,1,1,,,,,
15,2,19,j,j,j,m,z,,,,,,1,1,0,0,1,,,,,
15,2,20,v,z,c,f,v,,,,,,0,1,1,1,1,,,,,
15,2,21,z,t,k,f,c,,,,,,0,0,0,1,1,,,,,
15,2,22,l,k,w,b,s,,,,,,0,1,0,1,0,,,,,
15,2,23,r,g,c,s,m,,,,,,0,0,1,0,0,,,,,
15,2,24,p,w,f,s,s,,,,,,1,0,1,0,0,,,,,
15,3,25,b,h,l,b,d,,,,,,1,1,1,1,0,,,,,
15,3,26,j,g,r,s,s,,,,,,0,1,0,1,0,,,,,
15,3,27,d,x,b,l,x,,,,,,1,0,0,0,1,,,,,
15,3,28,x,f,g,p,j,,,,,,0,0,1,1,0,,,,,
15,3,29,j,t,z,n,c,,,,,,1,1,1,0,0,,,,,
15,3,30,r,c,d,s,j,,,,,,1,1,1,1,1,,,,,
15,3,31,v,j,r,x,x,,,,,,0,1,0,0,1,,,,,
15,3,32,k,f,g,s,h,,,,,,1,0,1,0,0,,,,,
15,3,33,x,j,j,n,d,,,,,,0,1,1,1,0,,,,,
15,3,34,q,t,q,f,s,,,,,,0,0,0,0,1,,,,,
15,3,35,x,j,m,s,d,,,,,,1,0,1,1,0,,,,,
15,3,36,b,z,f,f,j,,,,,,1,0,0,0,0,,,,,
15,3,37,f,v,m,n,b,,,,,,0,1,1,1,0,,,,,
15,3,38,l,r,j,z,m,,,,,,0,1,0,1,1,,,,,
15,3,39,v,t,d,g,x,,,,,,0,0,1,0,1,,,,,
15,4,40,j,t,j,m,t,,,,,,0,0,1,1,1,,,,,
15,4,41,p,r,c,s,r,,,,,,1,1,1,0,0,,,,,
15,4,42,z,k,k,k,m,,,,,,1,0,0,0,0,,,,,
15,4,43,f,q,j,v,k,,,,,,1,0,1,0,0,,,,,
15,4,44,w,q,h,r,p,,,,,,0,1,0,0,0,,,,,
15,4,45,c,r,d,s,q,,,,,,0,1,1,0,1,,,,,
15,4,46,f,t,h,v,w,,,,,,1,1,0,1,1,,,,,
15,4,47,n,l,r,d,g,,,,,,1,1,1,1,1,,,,,
15,4,48,x,v,p,s,x,,,,,,1,1,1,1,1,,,,,
15,4,49,f,p,d,f,n,,,,,,1,0,0,0,1,,,,,
15,4,50,f,p,v,h,z,,,,,,1,0,1,0,1,,,,,
15,4,51,x,x,l,w,f,,,,,,1,1,1,1,1,,,,,
15,4,52,z,c,s,j,r,,,,,,1,0,1,0,0,,,,,
15,4,53,x,t,k,g,j,,,,,,0,0,0,1,1,,,,,
15,5,54,d,j,s,f,g,,,,,,0,0,0,1,0,,,,,
15,5,55,h,g,h,j,m,,,,,,1,1,0,1,1,,,,,
15,5,56,f,d,k,t,f,,,,,,1,0,0,1,0,,,,,
15,5,57,l,f,s,l,m,,,,,,0,1,1,0,1,,,,,
15,5,58,x,t,m,r,c,,,,,,0,0,1,0,1,,,,,
15,5,59,m,k,k,r,j,,,,,,0,0,1,0,0,,,,,
15,5,60,p,s,r,b,s,,,,,,1,1,1,0,1,,,,,
15,5,61,f,d,g,f,q,,,,,,0,1,1,0,1,,,,,
15,5,62,j,c,k,h,x,,,,,,0,0,0,0,1,,,,,
15,5,63,v,n,b,q,n,,,,,,0,1,1,0,0,,,,,
15,5,64,v,v,z,r,g,,,,,,1,0,1,1,1,,,,,
