"VAR","RESPONSE","MEANING"
"DALI_ATTENTION",1,"gering"
"DALI_ATTENTION",101,"hoch"
"DALI_ATTENTION",-9,"nicht beantwortet"
"DALI_VISUAL",1,"gering"
"DALI_VISUAL",101,"hoch"
"DALI_VISUAL",-9,"nicht beantwortet"
"DALI_AUDITORY",1,"gering"
"DALI_AUDITORY",101,"hoch"
"DALI_AUDITORY",-9,"nicht beantwortet"
"DALI_TIME",1,"gering"
"DALI_TIME",101,"hoch"
"DALI_TIME",-9,"nicht beantwortet"
"DALI_INTERFERENCE",1,"gering"
"DALI_INTERFERENCE",101,"hoch"
"DALI_INTERFERENCE",-9,"nicht beantwortet"
"DALI_SITUATIONALSTRESS",1,"gering"
"DALI_SITUATIONALSTRESS",101,"hoch"
"DALI_SITUATIONALSTRESS",-9,"nicht beantwortet"
"UX_POS",1,"Stimme gar nicht zu [1]"
"UX_POS",2," [2]"
"UX_POS",3," [3]"
"UX_POS",4," [4]"
"UX_POS",5," [5]"
"UX_POS",6," [6]"
"UX_POS",7,"Stimme voll und ganz zu [7]"
"UX_POS",-9,"nicht beantwortet"
"UX_NEG",1,"Stimme gar nicht zu [1]"
"UX_NEG",2," [2]"
"UX_NEG",3," [3]"
"UX_NEG",4," [4]"
"UX_NEG",5," [5]"
"UX_NEG",6," [6]"
"UX_NEG",7,"Stimme voll und ganz zu [7]"
"UX_NEG",-9,"nicht beantwortet"
"ATI_01",1,"stimmt gar nicht"
"ATI_01",2,"stimmt weitgehend nicht"
"ATI_01",3,"stimmt eher nicht"
"ATI_01",4,"stimmt eher"
"ATI_01",5,"stimmt weitgehend"
"ATI_01",6,"stimmt völlig"
"ATI_01",-9,"nicht beantwortet"
"ATI_02",1,"stimmt gar nicht"
"ATI_02",2,"stimmt weitgehend nicht"
"ATI_02",3,"stimmt eher nicht"
"ATI_02",4,"stimmt eher"
"ATI_02",5,"stimmt weitgehend"
"ATI_02",6,"stimmt völlig"
"ATI_02",-9,"nicht beantwortet"
"ATI_03",1,"stimmt gar nicht"
"ATI_03",2,"stimmt weitgehend nicht"
"ATI_03",3,"stimmt eher nicht"
"ATI_03",4,"stimmt eher"
"ATI_03",5,"stimmt weitgehend"
"ATI_03",6,"stimmt völlig"
"ATI_03",-9,"nicht beantwortet"
"ATI_04",1,"stimmt gar nicht"
"ATI_04",2,"stimmt weitgehend nicht"
"ATI_04",3,"stimmt eher nicht"
"ATI_04",4,"stimmt eher"
"ATI_04",5,"stimmt weitgehend"
"ATI_04",6,"stimmt völlig"
"ATI_04",-9,"nicht beantwortet"
"ATI_05",1,"stimmt gar nicht"
"ATI_05",2,"stimmt weitgehend nicht"
"ATI_05",3,"stimmt eher nicht"
"ATI_05",4,"stimmt eher"
"ATI_05",5,"stimmt weitgehend"
"ATI_05",6,"stimmt völlig"
"ATI_05",-9,"nicht beantwortet"
"ATI_06",1,"stimmt gar nicht"
"ATI_06",2,"stimmt weitgehend nicht"
"ATI_06",3,"stimmt eher nicht"
"ATI_06",4,"stimmt eher"
"ATI_06",5,"stimmt weitgehend"
"ATI_06",6,"stimmt völlig"
"ATI_06",-9,"nicht beantwortet"
"ATI_07",1,"stimmt gar nicht"
"ATI_07",2,"stimmt weitgehend nicht"
"ATI_07",3,"stimmt eher nicht"
"ATI_07",4,"stimmt eher"
"ATI_07",5,"stimmt weitgehend"
"ATI_07",6,"stimmt völlig"
"ATI_07",-9,"nicht beantwortet"
"ATI_08",1,"stimmt gar nicht"
"ATI_08",2,"stimmt weitgehend nicht"
"ATI_08",3,"stimmt eher nicht"
"ATI_08",4,"stimmt eher"
"ATI_08",5,"stimmt weitgehend"
"ATI_08",6,"stimmt völlig"
"ATI_08",-9,"nicht beantwortet"
"ATI_09",1,"stimmt gar nicht"
"ATI_09",2,"stimmt weitgehend nicht"
"ATI_09",3,"stimmt eher nicht"
"ATI_09",4,"stimmt eher"
"ATI_09",5,"stimmt weitgehend"
"ATI_09",6,"stimmt völlig"
"ATI_09",-9,"nicht beantwortet"
"DX_KMA",1,"bis 5.000 km"
"DX_KMA",2,"5.001 bis 10.000 km"
"DX_KMA",3,"10.001 bis 15.000 km"
"DX_KMA",4,"15.001 bis 15.000 km"
"DX_KMA",5,"15.001 bis 20.000 km"
"DX_KMA",6,"über 20.000 km"
"DX_KMA",-9,"nicht beantwortet"
"TX_01",1,"gar nicht vertraut [1]"
"TX_01",2," [2]"
"TX_01",3," [3]"
"TX_01",4," [4]"
"TX_01",5," [5]"
"TX_01",6," [6]"
"TX_01",7,"äußerst vertraut [7]"
"TX_01",-9,"nicht beantwortet"
"TX_02",1,"gar nicht vertraut [1]"
"TX_02",2," [2]"
"TX_02",3," [3]"
"TX_02",4," [4]"
"TX_02",5," [5]"
"TX_02",6," [6]"
"TX_02",7,"äußerst vertraut [7]"
"TX_02",-9,"nicht beantwortet"
"TX_03",1,"gar nicht vertraut [1]"
"TX_03",2," [2]"
"TX_03",3," [3]"
"TX_03",4," [4]"
"TX_03",5," [5]"
"TX_03",6," [6]"
"TX_03",7,"äußerst vertraut [7]"
"TX_03",-9,"nicht beantwortet"
"Gender",1,"weiblich"
"Gender",2,"männlich"
"Gender",3,"nicht-binär"
"Gender",4,"möchte ich selbst beschreiben, und zwar:"
"Gender",-1,"möchte ich nicht angeben"
"Gender",-9,"nicht beantwortet"
"HUD_01",1,"Stimme gar nicht zu [1]"
"HUD_01",2,"[2]"
"HUD_01",3,"[3]"
"HUD_01",4,"[4]"
"HUD_01",5,"[5]"
"HUD_01",6,"[6]"
"HUD_01",7,"Stimme voll und ganz zu [7]"
"HUD_01",-9,"nicht beantwortet"
"HUD_02",1,"Stimme gar nicht zu [1]"
"HUD_02",2,"[2]"
"HUD_02",3,"[3]"
"HUD_02",4,"[4]"
"HUD_02",5,"[5]"
"HUD_02",6,"[6]"
"HUD_02",7,"Stimme voll und ganz zu [7]"
"HUD_02",-9,"nicht beantwortet"
"HUD_03",1,"Stimme gar nicht zu [1]"
"HUD_03",2,"[2]"
"HUD_03",3,"[3]"
"HUD_03",4,"[4]"
"HUD_03",5,"[5]"
"HUD_03",6,"[6]"
"HUD_03",7,"Stimme voll und ganz zu [7]"
"HUD_03",-9,"nicht beantwortet"
"HUD_04",1,"Stimme gar nicht zu [1]"
"HUD_04",2,"[2]"
"HUD_04",3,"[3]"
"HUD_04",4,"[4]"
"HUD_04",5,"[5]"
"HUD_04",6,"[6]"
"HUD_04",7,"Stimme voll und ganz zu [7]"
"HUD_04",-9,"nicht beantwortet"
"HUD_05",1,"Stimme gar nicht zu [1]"
"HUD_05",2,"[2]"
"HUD_05",3,"[3]"
"HUD_05",4,"[4]"
"HUD_05",5,"[5]"
"HUD_05",6,"[6]"
"HUD_05",7,"Stimme voll und ganz zu [7]"
"HUD_05",-9,"nicht beantwortet"
"HUD_06",1,"Stimme gar nicht zu [1]"
"HUD_06",2,"[2]"
"HUD_06",3,"[3]"
"HUD_06",4,"[4]"
"HUD_06",5,"[5]"
"HUD_06",6,"[6]"
"HUD_06",7,"Stimme voll und ganz zu [7]"
"HUD_06",-9,"nicht beantwortet"
"HUD_07",1,"Stimme gar nicht zu [1]"
"HUD_07",2,"[2]"
"HUD_07",3,"[3]"
"HUD_07",4,"[4]"
"HUD_07",5,"[5]"
"HUD_07",6,"[6]"
"HUD_07",7,"Stimme voll und ganz zu [7]"
"HUD_07",-9,"nicht beantwortet"
"HUD_08",1,"Stimme gar nicht zu [1]"
"HUD_08",2,"[2]"
"HUD_08",3,"[3]"
"HUD_08",4,"[4]"
"HUD_08",5,"[5]"
"HUD_08",6,"[6]"
