case,questnnr,mode,language,started,participant,condition,time001,time_sum,lastdata,finished,q_viewer,lastpage,maxpage,dali_attention,dali_visual,dali_auditory,dali_time,dali_interference,dali_situationalstress,ux_pos,ux_neg,hud_01,hud_02,hud_03,hud_04,hud_05,hud_06,hud_07,hud_08,vs01_09,time002,time003,time004,ati_01,ati_02,ati_03,ati_04,ati_05,ati_06,ati_07,ati_08,ati_09,dx_yrs,dx_kma,tx_01,tx_02,tx_03,gender,age,occup,pref_strat_0,pref_strat_1,pref_strat_2,pref_gaze_0,pref_gaze_1,ipq_g1,ipq_sp1,ipq_sp2,ipq_sp3,ipq_sp4,ipq_sp5,ipq_inv1,ipq_inv2,ipq_inv3,ipq_inv4,ipq_real1,ipq_real2,ipq_real3,ipq_real4,time005,time006,open,pretty_condition
61,end,interview,ger,2021-08-26 17:54:41,1.0,,219,467,2021-08-26 18:04:30,1,0,6,6,,,,,,,,,,,,,,,,,,173.0,46.0,83.0,6.0,6.0,3.0,6.0,5.0,1.0,6.0,2.0,6.0,12.0,1.0,6.0,5.0,5.0,2.0,28.0,PhD student,4.0,6.0,6.0,2.0,5.0,6.0,7.0,1.0,6.0,7.0,6.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,1.0,46.0,22.0,,
67,end,interview,eng,2021-08-26 20:26:20,2.0,,140,414,2021-08-26 20:33:14,1,0,6,6,,,,,,,,,,,,,,,,,,77.0,49.0,78.0,4.0,2.0,4.0,2.0,2.0,5.0,4.0,5.0,3.0,15.0,1.0,2.0,7.0,7.0,1.0,34.0,PhD Student,3.0,6.0,1.0,4.0,4.0,7.0,7.0,1.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,5.0,3.0,3.0,19.0,51.0,"the studz duration is very long
",
73,end,interview,ger,2021-08-27 12:15:03,3.0,,144,373,2021-08-27 12:21:16,1,0,6,6,,,,,,,,,,,,,,,,,,74.0,26.0,89.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,13.0,1.0,1.0,7.0,7.0,2.0,30.0,Student / WHK,4.0,6.0,6.0,4.0,4.0,5.0,7.0,1.0,5.0,6.0,6.0,5.0,6.0,3.0,6.0,5.0,4.0,3.0,1.0,25.0,15.0,,
79,end,interview,ger,2021-08-27 18:18:42,4.0,,101,270,2021-08-27 18:23:12,1,0,6,6,,,,,,,,,,,,,,,,,,44.0,44.0,59.0,6.0,6.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,9.0,5.0,7.0,7.0,7.0,2.0,26.0,SHK bei HCI,7.0,6.0,5.0,6.0,4.0,6.0,7.0,2.0,1.0,5.0,7.0,6.0,1.0,7.0,3.0,2.0,6.0,5.0,1.0,18.0,4.0,,
85,end,interview,ger,2021-08-30 10:31:08,5.0,,61,222,2021-08-30 10:34:50,1,0,6,6,,,,,,,,,,,,,,,,,,56.0,36.0,44.0,5.0,5.0,2.0,5.0,6.0,1.0,5.0,2.0,6.0,13.0,3.0,2.0,7.0,7.0,2.0,30.0,WiMi,7.0,2.0,1.0,2.0,1.0,6.0,4.0,2.0,6.0,6.0,6.0,2.0,5.0,2.0,6.0,3.0,2.0,5.0,3.0,20.0,5.0,,
92,end,interview,ger,2021-08-30 17:07:35,6.0,,108,413,2021-08-30 17:14:28,1,0,6,6,,,,,,,,,,,,,,,,,,122.0,38.0,78.0,6.0,6.0,4.0,5.0,6.0,2.0,5.0,3.0,5.0,12.0,1.0,1.0,7.0,7.0,2.0,32.0,Research Assistant,1.0,5.0,6.0,3.0,1.0,2.0,1.0,2.0,5.0,5.0,3.0,2.0,4.0,2.0,6.0,5.0,4.0,2.0,1.0,34.0,33.0,Nicht immer die gleichen Gefahrensituationen nutzen. Balancen!!!!,
98,end,interview,ger,2021-08-31 12:07:39,7.0,,160,469,2021-08-31 12:16:52,1,0,6,6,,,,,,,,,,,,,,,,,,160.0,41.0,164.0,3.0,4.0,6.0,3.0,2.0,3.0,4.0,4.0,4.0,10.0,1.0,1.0,7.0,2.0,1.0,28.0,Studentin,1.0,3.0,2.0,5.0,2.0,7.0,7.0,2.0,2.0,6.0,6.0,6.0,5.0,3.0,5.0,6.0,5.0,6.0,5.0,17.0,10.0,,
104,end,interview,ger,2021-08-31 14:06:03,8.0,,147,344,2021-08-31 14:12:20,1,0,6,6,,,,,,,,,,,,,,,,,,62.0,19.0,72.0,6.0,6.0,1.0,5.0,5.0,3.0,5.0,2.0,5.0,8.0,1.0,4.0,6.0,6.0,2.0,25.0,Student,4.0,7.0,2.0,6.0,3.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,54.0,23.0,die vr simulation war gut,
110,end,interview,ger,2021-08-31 16:07:01,9.0,,122,308,2021-08-31 16:12:09,1,0,6,6,,,,,,,,,,,,,,,,,,40.0,32.0,90.0,6.0,6.0,2.0,4.0,5.0,2.0,5.0,2.0,6.0,5.0,3.0,6.0,5.0,5.0,2.0,22.0,Masterstudium SNE,1.0,7.0,4.0,7.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,5.0,3.0,4.0,5.0,1.0,21.0,3.0,,
116,end,interview,ger,2021-09-01 11:51:59,10.0,,221,453,2021-09-01 11:59:32,1,0,6,6,,,,,,,,,,,,,,,,,,83.0,33.0,92.0,5.0,6.0,2.0,5.0,5.0,3.0,5.0,3.0,5.0,8.0,1.0,1.0,6.0,6.0,2.0,24.0,Student,2.0,7.0,6.0,3.0,3.0,6.0,7.0,2.0,6.0,5.0,6.0,3.0,2.0,2.0,5.0,4.0,5.0,5.0,1.0,19.0,5.0,,
122,end,interview,ger,2021-09-01 16:41:35,11.0,,117,278,2021-09-01 16:46:13,1,0,6,6,,,,,,,,,,,,,,,,,,61.0,13.0,72.0,5.0,5.0,2.0,5.0,4.0,2.0,5.0,2.0,4.0,5.0,2.0,3.0,4.0,7.0,2.0,23.0,Student,4.0,6.0,3.0,6.0,1.0,4.0,3.0,1.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,6.0,2.0,1.0,2.0,13.0,2.0,,
128,end,interview,ger,2021-09-01 19:01:06,12.0,,105,357,2021-09-01 19:07:03,1,0,6,6,,,,,,,,,,,,,,,,,,84.0,30.0,73.0,5.0,6.0,2.0,6.0,6.0,3.0,5.0,2.0,6.0,14.0,1.0,1.0,5.0,5.0,1.0,31.0,Semestermanagerin,2.0,4.0,7.0,2.0,5.0,5.0,6.0,2.0,7.0,6.0,7.0,6.0,6.0,2.0,6.0,2.0,6.0,5.0,4.0,18.0,47.0,"Ich habe zwar schon lange einen Führerschein, bin aber zwischendrin viele Jahre gar kein Auto fahren und fahre auch zur Zeit äußerst selten.",
134,end,interview,ger,2021-09-02 16:50:41,13.0,,137,442,2021-09-02 16:58:03,1,0,6,6,,,,,,,,,,,,,,,,,,120.0,49.0,97.0,6.0,6.0,2.0,5.0,5.0,2.0,5.0,3.0,4.0,6.0,2.0,3.0,7.0,7.0,2.0,24.0,Student,2.0,6.0,7.0,5.0,5.0,6.0,6.0,2.0,5.0,5.0,5.0,3.0,2.0,3.0,5.0,3.0,5.0,5.0,2.0,26.0,13.0,,
140,end,interview,ger,2021-09-03 15:45:45,14.0,,233,345,2021-09-03 15:53:04,1,0,6,6,,,,,,,,,,,,,,,,,,35.0,37.0,84.0,5.0,6.0,3.0,4.0,4.0,2.0,5.0,3.0,3.0,5.0,1.0,5.0,5.0,7.0,2.0,22.0,Student/Softwareentwicklung,4.0,6.0,3.0,2.0,2.0,5.0,7.0,1.0,5.0,7.0,7.0,4.0,4.0,5.0,3.0,2.0,2.0,5.0,1.0,21.0,29.0,Ich habe zwischen den einzelnen Fahreigriffen gar nicht auf die Straße geachtet.,
