"VAR","LABEL","TYPE","INPUT","QUESTION"
"CASE","Interview-Nummer (fortlaufend)","METRIC","SYSTEM",
"SERIAL","Seriennummer (sofern verwendet)","TEXT","SYSTEM",
"REF","Referenz (sofern im Link angegeben)","TEXT","SYSTEM",
"QUESTNNR","Fragebogen, der im Interview verwendet wurde","TEXT","SYSTEM",
"MODE","Interview-Modus","TEXT","SYSTEM",
"LANGUAGE","Sprache","TEXT","SYSTEM",
"STARTED","Zeitpunkt zu dem das Interview begonnen hat (Europe/Berlin)","TIME","SYSTEM",
"DALI_ATTENTION","DALI-TLX ATTE: gering/hoch","ORDINAL","SCALE","Aufwand an Aufmerksamkeit"
"DALI_VISUAL","DALI-TLX VISU: gering/hoch","ORDINAL","SCALE","Visuelle Anforderung"
"DALI_AUDITORY","DALI-TLX AUDI: gering/hoch","ORDINAL","SCALE","Auditive Anforderung"
"DALI_TIME","DALI-TLX TIME: gering/hoch","ORDINAL","SCALE","Zeitliche Anforderung"
"DALI_INTERFERENCE","DALI-TLX INTE: gering/hoch","ORDINAL","SCALE","Störung"
"DALI_SITUATIONALSTRESS","DALI-TLX STRE: gering/hoch","ORDINAL","SCALE","Situativer Stress"
"UX_POS","PosNeg: ...positiv","ORDINAL","SCALE","Wie positiv bzw. negativ würden Sie die Fahrt bewerten?"
"UX_NEG","PosNeg: ...negativ","ORDINAL","SCALE","Wie positiv bzw. negativ würden Sie die Fahrt bewerten?"
"ATI_01","ATI: Ich beschäftige mich gern genauer mit technischen Systemen.","ORDINAL","SCALE","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an."
"ATI_02","ATI: Ich probiere gern die Funktionen neuer technischer Systeme aus.","ORDINAL","SCALE","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an."
"ATI_03","ATI: In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.","ORDINAL","SCALE","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an."
"ATI_04","ATI: Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.","ORDINAL","SCALE","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an."
"ATI_05","ATI: Ich verbringe sehr gern Zeit mit dem Kennenlernen eine neuen technischen Systems.","ORDINAL","SCALE","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an."
"ATI_06","ATI: Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.","ORDINAL","SCALE","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an."
"ATI_07","ATI: Ich versuche zu verstehen, wie ein technisches System genau funktioniert.","ORDINAL","SCALE","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an."
"ATI_08","ATI: Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen.","ORDINAL","SCALE","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an."
"ATI_09","ATI: Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.","ORDINAL","SCALE","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an."
"DX_YRS","FE_Jahre:  ... Jahre","TEXT","OPEN","Wie lange besitzen Sie schon einen Pkw-Führerschein?"
"DX_KMA","FE_km","NOMINAL","SELECTION","Wie viele Kilometer fahren Sie durchschnittlich im Jahr?"
"TX_01","TechExperience: Fahrerassistenzsysteme (ACC, Spurehalteassistent)","ORDINAL","SCALE","Bitte geben Sie an, inwieweit Sie mit den folgenden Technologien vertraut sind."
"TX_02","TechExperience: VR-Brillen","ORDINAL","SCALE","Bitte geben Sie an, inwieweit Sie mit den folgenden Technologien vertraut sind."
"TX_03","TechExperience: 3D-Anwendungen (z.B. Computerspiele, CAD-Programme, ...)","ORDINAL","SCALE","Bitte geben Sie an, inwieweit Sie mit den folgenden Technologien vertraut sind."
"Gender","Geschlecht","NOMINAL","SELECTION","Welches Geschlecht beschreibt Sie am besten?"
"Age","Alter (direkt): Ich bin   ... Jahre","METRIC","OPEN","Wie alt sind Sie?"
"OCCUP","Beschäftigung (offen): [01]","TEXT","OPEN","Welcher Beschäftigung gehen Sie nach?"
"open","Anmerkungen (offen): [01]","TEXT","OPEN","Möchten Sie zu dieser Befragung oder zum besseren Verständnis Ihrer Antworten noch etwas anmerken? (optional)"
"HUD_01","HUD: Das HUD hat mich von der Nebenaufgabe abgelenkt.","ORDINAL","SCALE","Bitte bewerten Sie das Head-Up Display (HUD) während der Fahrt."
"HUD_02","HUD: Das HUD hat mir geholfen, den Übernahmeaufforderungen nachzukommen.","ORDINAL","SCALE","Bitte bewerten Sie das Head-Up Display (HUD) während der Fahrt."
"HUD_03","HUD: Das HUD hat mir geholfen, die Fahrumgebung wahrzunehmen.","ORDINAL","SCALE","Bitte bewerten Sie das Head-Up Display (HUD) während der Fahrt."
"HUD_04","HUD: Das HUD hat mir geholfen, die Fahrumgebung zu verstehen.","ORDINAL","SCALE","Bitte bewerten Sie das Head-Up Display (HUD) während der Fahrt."
"HUD_05","HUD: Das HUD hat mir geholfen, die Fahrumgebung vorauszusehen.","ORDINAL","SCALE","Bitte bewerten Sie das Head-Up Display (HUD) während der Fahrt."
